Year,Change in Net Income,Change_Cash_Operations,Change_Cash_Investments,Change_Cash_Financials,Change_Cash_Equivalents
2014,18024,33722,-21165,6923,5634
2015,13569,19081,-22331,-15585,-4989
2015,10677,14988,-11403,-2755,830
2015,11124,13475,-1375,-6299,5801
2015,18361,27463,-20450,-11444,-4431
2016,10516,11601,-13660,6884,4825
2016,7796,10634,-4470,-9441,-3277
2016,9014,16126,-7397,-6482,2247
2016,17891,27056,-19122,-12047,-4113
2017,11029,12523,-14202,465,-1214
2017,8717,8363,-3180,-1769,3414
2017,10714,15656,-9942,-3996,1718
2017,20065,28293,-13590,-7501,7202
2018,13822,15130,28710,-26272,17568
2018,11519,14488,3947,-31523,-13088
2018,14125,19523,-3001,-22580,-6058
2018,19965,26690,5844,-13676,18858
2019,11561,11155,13348,-29457,-4954
2019,10044,11636,27502,-26804,12334
2019,13686,19910,-798,-21039,-1927
2019,22236,30516,-13668,-25407,-8559
2020,11249,13311,9013,-20940,1384
2020,11253,16271,-5165,-19116,-8010
2020,12673,20576,5531,-21357,4750